game,key,isStatic,contentType,character,gender,English,_id,GT
Doctor_Common,doctut_end,0,VO,Narrator,Female,Thank You! You're all set to Play Now,666046ac314c693233a22a0f,
Doctor_Common,num_100_text,0,Text,,,100,666046ac314c693233a22a23,
Doctor_Common,num_101_text,0,Text,,,101,666046ac314c693233a22a65,
Doctor_Common,num_102_text,0,Text,,,102,666046ac314c693233a22a8a,
Doctor_Common,num_110_text,0,Text,,,110,666046ac314c693233a22aca,
Doctor_Common,num_69_text,0,Text,,,69,666046ac314c693233a22b08,
Doctor_Common,num_70_text,0,Text,,,70,666046ac314c693233a22b5c,
Doctor_Common,num_71_text,0,Text,,,71,666046ac314c693233a22b7c,
Doctor_Common,num_72_text,0,Text,,,72,666046ac314c693233a22bb9,
Doctor_Common,num_74_text,0,Text,,,74,666046ac314c693233a22c06,
Doctor_Common,num_80_text,0,Text,,,80,666046ad314c693233a22c54,
Doctor_Common,num_89_text,0,Text,,,89,666046ad314c693233a22c7d,
Doctor_Common,num_90_text,0,Text,,,90,666046ad314c693233a22ca1,
Doctor_Common,tdoc_bandage_hold_fig,0,VO,Narrator,Female,Hold the bandage figurine as shown.,666046ad314c693233a22cce,
Doctor_Common,tdoc_bandage_text,0,Text,,,Place the bandage figurine.,666046ad314c693233a22d09,
Doctor_Common,tdoc_bandage_tut1,0,VO,Narrator,Female,Place the bandage figurine on the highlighted area.,666046ad314c693233a22d46,
Doctor_Common,tdoc_bandage_tut2,0,Both,Narrator,Female,Move the figurine to the affected area.,666046ad314c693233a22d7a,
Doctor_Common,tdoc_bandage_tut3,0,Both,Narrator,Female,Drag the figurine to apply the bandage.,666046ad314c693233a22d96,
Doctor_Common,tdoc_bandage_tut4,0,VO,Narrator,Female,Place again and drag until the entire injury is covered.,666046ad314c693233a22de3,
Doctor_Common,tdoc_bloodpressure_hold_figurine,0,VO,Narrator,Female,Hold the blood pressure figurine as shown.,666046ad314c693233a22e1f,
Doctor_Common,tdoc_bloodpressure_tut1,0,VO,Narrator,Female,Place the blood pressure figurine on the highlighted area.,666046ad314c693233a22e56,
Doctor_Common,tdoc_bloodpressure_tut2,0,VO,Narrator,Female,Press the button on the figurine until the reading appears.,666046ad314c693233a22e82,
Doctor_Common,tdoc_bp_text,0,Text,,,Place the blood pressure figurine.,666046ad314c693233a22eaf,
Doctor_Common,tdoc_bpm_label,0,Text,,,BPM,666046ad314c693233a22ede,
Doctor_Common,tdoc_button_text,0,Text,,,Press the button to shine the light.,666046ad314c693233a22efe,
Doctor_Common,tdoc_clippers_name,0,Text,,,Clippers,666046ad314c693233a22f21,
Doctor_Common,tdoc_drag_scan_text,0,Text,,,Drag to scan the affected area,666046ad314c693233a22f7e,
Doctor_Common,tdoc_drop_medicine_text,0,Text,,,Tilt to drop the medicine.,666046ad314c693233a22fb1,
Doctor_Common,tdoc_figurine_text,0,Text,,,Place the figurine.,666046ad314c693233a23000,
Doctor_Common,tdoc_flashlight_hold_figurine,0,VO,Narrator,Female,Hold the flashlight figurine as shown.,666046ad314c693233a23026,
Doctor_Common,tdoc_flashlight_text,0,Text,,,Place the flashlight figurine.,666046ae314c693233a2306a,
Doctor_Common,tdoc_flashlight_tut1,0,VO,Narrator,Female,Place the flashlight figurine on the highlighted area.,666046ae314c693233a23097,
Doctor_Common,tdoc_flashlight_tut2,0,VO,Narrator,Female,Press the button on the figurine to shine the light.,666046ae314c693233a230bd,
Doctor_Common,tdoc_foreceps_name,0,Text,,,Forceps,666046ae314c693233a230e3,
Doctor_Common,tdoc_heart-rate_text,0,Text,,,Hold until the heart rate appears.,666046ae314c693233a23117,
Doctor_Common,tdoc_high_text,0,Text,,,High,666046ae314c693233a23154,
Doctor_Common,tdoc_hold,0,Text,,,Hold!,666046ae314c693233a2317f,
Doctor_Common,tdoc_hold_choose_text,0,Text,,,Hold to choose the tool.,666046ae314c693233a231a3,
Doctor_Common,tdoc_lets_play,0,Text,,,Let's play,666046ae314c693233a231fa,
Doctor_Common,tdoc_low_text,0,Text,,,Low,666046ae314c693233a23221,
Doctor_Common,tdoc_magnifier_tut1,0,Both,Narrator,Female,Hold the magnifier figurine with both hands.,666046ae314c693233a2325d,
Doctor_Common,tdoc_magnifier_tut2,0,Both,Narrator,Female,Place the magnifier figurine on the highlighted area.,666046ae314c693233a23280,
Doctor_Common,tdoc_magnifier_tut3,0,Both,Narrator,Female,Rotate the handle to zoom in.,666046ae314c693233a232c9,
Doctor_Common,tdoc_medicine_hold_figurine,0,VO,Narrator,Female,Hold the medicine figurine as shown.,666046ae314c693233a232f9,
Doctor_Common,tdoc_medicine_text,0,Text,,,Place the medicine figurine.,666046ae314c693233a23322,
Doctor_Common,tdoc_medicine_tut1,0,VO,Narrator,Female,Place the medicine figurine on the highlighted area.,666046ae314c693233a233a8,
Doctor_Common,tdoc_medicine_tut2,0,VO,Narrator,Female,Tilt the figurine to drop the medicine.,666046ae314c693233a233c6,
Doctor_Common,tdoc_menu_text,0,Text,,,Hold until the menu appears.,666046ae314c693233a23404,
Doctor_Common,tdoc_normal_text,0,Text,,,Normal,666046ae314c693233a23448,
Doctor_Common,tdoc_place_drag_text,0,Text,,,Place again and drag to cover the entire wound.,666046ae314c693233a2348e,
Doctor_Common,tdoc_place_spray_text,0,Text,,,Place the spray figurine.,666046ae314c693233a234d2,
Doctor_Common,tdoc_press_spray_text,0,Text,,,Press the button to spray.,666046ae314c693233a2350d,
Doctor_Common,tdoc_reading_text,0,Text,,,Press the button until the reading appears.,666046af314c693233a23534,
Doctor_Common,tdoc_remove_figurine_text,0,Text,,,Remove the figurine to keep treating!,666046af314c693233a23556,
Doctor_Common,tdoc_removefig1,0,Both,Narrator,Female,Remove the figurine to continue the treatment!,666046af314c693233a2359d,
Doctor_Common,tdoc_scan_area_text,0,Text,,,Drag to scan the affected area.,666046af314c693233a235e5,
Doctor_Common,tdoc_scissor_figurine_text,0,Text,,,Remove the figurine to keep treating!,666046af314c693233a23612,
Doctor_Common,tdoc_scissors_hold_figurine,0,VO,Narrator,Female,Hold the scissors figurine as shown.,666046af314c693233a23641,
Doctor_Common,tdoc_scissors_name,0,Text,,,Scissors,666046af314c693233a23674,
Doctor_Common,tdoc_scissors_text,0,Text,,,Place the scissors figurine.,666046af314c693233a236ab,
Doctor_Common,tdoc_scissors_tut1,0,VO,Narrator,Female,Place the Scissors figurine on the highlighted area.,666046af314c693233a23714,
Doctor_Common,tdoc_scissors_tut2,0,VO,Narrator,Female,Move the figurine as shown.,666046af314c693233a23739,
Doctor_Common,tdoc_scissors_tut3,0,VO,Narrator,Female,"When the menu appears, swipe left or right.",666046af314c693233a2377d,
Doctor_Common,tdoc_scissors_tut4,0,VO,Narrator,Female,Hold the figurine to choose the tool that you want.,666046af314c693233a2379b,
Doctor_Common,tdoc_scissors_tut5,0,VO,Narrator,Female,Drag the figurine to start cutting.,666046af314c693233a237c7,
Doctor_Common,tdoc_skip_text,0,Text,,,Skip,666046af314c693233a237f9,
Doctor_Common,tdoc_spray_area_text,0,Text,,,Spray until the affected area is covered.,666046af314c693233a2386b,
Doctor_Common,tdoc_spray_hold_figurine,0,VO,Narrator,Female,Hold the spray figurine as shown.,666046af314c693233a2387f,
Doctor_Common,tdoc_spray_text,0,Text,,,Spray many times until the affected area is covered completely,666046af314c693233a238ca,
Doctor_Common,tdoc_spray_tut1,0,VO,Narrator,Female,Place the spray figurine on the highlighted area.,666046af314c693233a23908,
Doctor_Common,tdoc_spray_tut2,0,VO,Narrator,Female,Press the button to begin spraying.,666046b0314c693233a23938,
Doctor_Common,tdoc_spray_tut3,0,VO,Narrator,Female,Drag around to spray the affected area.,666046b0314c693233a23968,
