game,key,English,Portuguese,English_Back_Translation
Doctor_Common,doctut_end,Thank You! You're all set to Play Now,Obrigado! Está tudo pronto para Jogar Agora,Thank you! You are all set to play now!
Doctor_Common,num_100_text,100,100,100
Doctor_Common,num_101_text,101,101,101
Doctor_Common,num_102_text,102,102,102
Doctor_Common,num_110_text,110,110,110
Doctor_Common,num_69_text,69,69,69
Doctor_Common,num_70_text,70,70,70
Doctor_Common,num_71_text,71,71,71
Doctor_Common,num_72_text,72,72,72
Doctor_Common,num_74_text,74,74,74
Doctor_Common,num_80_text,80,80,80
Doctor_Common,num_89_text,89,89,89
Doctor_Common,num_90_text,90,90,90
Doctor_Common,tdoc_bandage_hold_fig,Hold the bandage figurine as shown.,Segurar a figura da ligadura como indicado.,Hold the ligature figure as shown.
Doctor_Common,tdoc_bandage_text,Place the bandage figurine.,Colocar a figura da ligadura.,Place the ligature figure.
Doctor_Common,tdoc_bandage_tut1,Place the bandage figurine on the highlighted area.,Colocar a figura da ligadura na zona destacada.,Place the ligature figure in the highlighted area.
Doctor_Common,tdoc_bandage_tut2,Move the figurine to the affected area.,Deslocar a estatueta para a zona afetada.,Move the figurine to the affected area.
Doctor_Common,tdoc_bandage_tut3,Drag the figurine to apply the bandage.,Arraste a figura para aplicar a ligadura.,Drag the figure to apply the ligature.
Doctor_Common,tdoc_bandage_tut4,Place again and drag until the entire injury is covered.,Voltar a colocar e arrastar até cobrir toda a lesão.,Replace and drag until the entire lesion is covered.
Doctor_Common,tdoc_bloodpressure_hold_figurine,Hold the blood pressure figurine as shown.,Segurar a figura da tensão arterial como indicado.,Hold the blood pressure figure as shown.
Doctor_Common,tdoc_bloodpressure_tut1,Place the blood pressure figurine on the highlighted area.,Colocar a figura da tensão arterial na zona destacada.,Place the blood pressure figure in the highlighted area.
Doctor_Common,tdoc_bloodpressure_tut2,Press the button on the figurine until the reading appears.,Premir o botão da figura até aparecer a leitura.,Press the button in the figure until the reading appears.
Doctor_Common,tdoc_bp_text,Place the blood pressure figurine.,Colocar a figura da tensão arterial.,Place the blood pressure figure.
Doctor_Common,tdoc_bpm_label,BPM,BPM,BPM
Doctor_Common,tdoc_button_text,Press the button to shine the light.,Prima o botão para fazer brilhar a luz.,Press the button to make the light shine.
Doctor_Common,tdoc_clippers_name,Clippers,Clippers,Clippers
Doctor_Common,tdoc_drag_scan_text,Drag to scan the affected area,Arrastar para digitalizar a área afetada,Drag to scan the affected area
Doctor_Common,tdoc_drop_medicine_text,Tilt to drop the medicine.,Inclinar para deixar cair o medicamento.,Tilt to drop the medicine.
Doctor_Common,tdoc_figurine_text,Place the figurine.,Colocar a estatueta.,Place the figurine.
Doctor_Common,tdoc_flashlight_hold_figurine,Hold the flashlight figurine as shown.,Segurar a figura da lanterna como indicado.,Hold the lantern figure as shown.
Doctor_Common,tdoc_flashlight_text,Place the flashlight figurine.,Colocar a figura da lanterna.,Place the lantern figure.
Doctor_Common,tdoc_flashlight_tut1,Place the flashlight figurine on the highlighted area.,Colocar a figura da lanterna na zona destacada.,Place the lantern figure in the highlighted area.
Doctor_Common,tdoc_flashlight_tut2,Press the button on the figurine to shine the light.,Prima o botão da figura para acender a luz.,Press the button in the figure to turn on the light.
Doctor_Common,tdoc_foreceps_name,Forceps,Fórceps,Forceps
Doctor_Common,tdoc_heart-rate_text,Hold until the heart rate appears.,Manter premido até aparecer o ritmo cardíaco.,Hold down until the heart rate appears.
Doctor_Common,tdoc_high_text,High,Elevado,High
Doctor_Common,tdoc_hold,Hold!,Espera!,Wait!
Doctor_Common,tdoc_hold_choose_text,Hold to choose the tool.,Mantenha premido para selecionar a ferramenta.,Press and hold to select the tool.
Doctor_Common,tdoc_lets_play,Let's play,Vamos jogar,Let&#39;s play
Doctor_Common,tdoc_low_text,Low,Baixa,Low
Doctor_Common,tdoc_magnifier_tut1,Hold the magnifier figurine with both hands.,Segurar a figura da lupa com as duas mãos.,Hold the magnifying glass figure with both hands.
Doctor_Common,tdoc_magnifier_tut2,Place the magnifier figurine on the highlighted area.,Colocar a figura da lupa na zona destacada.,Place the magnifying glass figure in the highlighted area.
Doctor_Common,tdoc_magnifier_tut3,Rotate the handle to zoom in.,Rodar a pega para aumentar o zoom.,Rotate the handle to zoom in.
Doctor_Common,tdoc_medicine_hold_figurine,Hold the medicine figurine as shown.,Segurar a estatueta de medicamento como indicado.,Hold the medicine figurine as directed.
Doctor_Common,tdoc_medicine_text,Place the medicine figurine.,Colocar a estatueta do medicamento.,Place the medicine figurine.
Doctor_Common,tdoc_medicine_tut1,Place the medicine figurine on the highlighted area.,Colocar a estatueta de medicamento na zona assinalada.,Place the medicine figurine in the marked area.
Doctor_Common,tdoc_medicine_tut2,Tilt the figurine to drop the medicine.,Inclinar a estatueta para deixar cair o medicamento.,Tilt the figurine to drop the medicine.
Doctor_Common,tdoc_menu_text,Hold until the menu appears.,Manter premido até aparecer o menu.,Hold down until the menu appears.
Doctor_Common,tdoc_normal_text,Normal,Normal,Normal
Doctor_Common,tdoc_place_drag_text,Place again and drag to cover the entire wound.,Voltar a colocar e arrastar até cobrir toda a ferida.,Replace and drag until the entire wound is covered.
Doctor_Common,tdoc_place_spray_text,Place the spray figurine.,Colocar a estatueta de spray.,Place the spray figurine.
Doctor_Common,tdoc_press_spray_text,Press the button to spray.,Premir o botão para pulverizar.,Press the button to spray.
Doctor_Common,tdoc_reading_text,Press the button until the reading appears.,Prima o botão até aparecer a leitura.,Press the button until the reading appears.
Doctor_Common,tdoc_remove_figurine_text,Remove the figurine to keep treating!,Retire a estatueta para continuar a tratar!,Remove the figurine to continue treating!
Doctor_Common,tdoc_removefig1,Remove the figurine to continue the treatment!,Retirar a estatueta para continuar o tratamento!,Remove the figurine to continue the treatment!
Doctor_Common,tdoc_scan_area_text,Drag to scan the affected area.,Arraste para digitalizar a área afetada.,Drag to scan the affected area.
Doctor_Common,tdoc_scissor_figurine_text,Remove the figurine to keep treating!,Retire a estatueta para continuar a tratar!,Remove the figurine to continue treating!
Doctor_Common,tdoc_scissors_hold_figurine,Hold the scissors figurine as shown.,Segurar a figura da tesoura como indicado.,Hold the scissors figure as shown.
Doctor_Common,tdoc_scissors_name,Scissors,Tesoura,Scissors
Doctor_Common,tdoc_scissors_text,Place the scissors figurine.,Colocar a estatueta da tesoura.,Place the scissor figurine.
Doctor_Common,tdoc_scissors_tut1,Place the Scissors figurine on the highlighted area.,Colocar a estatueta da Tesoura na zona destacada.,Place the Scissors figurine in the highlighted area.
Doctor_Common,tdoc_scissors_tut2,Move the figurine as shown.,Deslocar a figura como indicado.,Move the figure as indicated.
Doctor_Common,tdoc_scissors_tut3,"When the menu appears, swipe left or right.","Quando o menu aparecer, deslize o dedo para a esquerda ou para a direita.","When the menu appears, swipe left or right."
Doctor_Common,tdoc_scissors_tut4,Hold the figurine to choose the tool that you want.,Segura a figura para escolher a ferramenta que pretendes.,Hold the figure to choose the tool you want.
Doctor_Common,tdoc_scissors_tut5,Drag the figurine to start cutting.,Arraste a figura para começar a cortar.,Drag the shape to start cutting.
Doctor_Common,tdoc_skip_text,Skip,Saltar,Jump
Doctor_Common,tdoc_spray_area_text,Spray until the affected area is covered.,Pulverizar até cobrir a área afetada.,Spray until the affected area is covered.
Doctor_Common,tdoc_spray_hold_figurine,Hold the spray figurine as shown.,Segurar a estatueta de spray como indicado.,Hold the spray figurine as shown.
Doctor_Common,tdoc_spray_text,Spray many times until the affected area is covered completely,Pulverizar várias vezes até que a área afetada esteja completamente coberta,Spray several times until the affected area is completely covered.
Doctor_Common,tdoc_spray_tut1,Place the spray figurine on the highlighted area.,Colocar a estatueta de spray na zona destacada.,Place the spray figurine in the highlighted area.
Doctor_Common,tdoc_spray_tut2,Press the button to begin spraying.,Premir o botão para iniciar a pulverização.,Press the button to start spraying.
