,game,key,isStatic,contentType,character,gender,English,_id,GT,Portuguese
0,Doctor_Common,doctut_end,0,VO,Narrator,Female,Thank You! You're all set to Play Now,666046ac314c693233a22a0f,,Obrigado! Está tudo pronto para Jogar Agora
1,Doctor_Common,num_100_text,0,Text,,,100,666046ac314c693233a22a23,,100
2,Doctor_Common,num_101_text,0,Text,,,101,666046ac314c693233a22a65,,101
3,Doctor_Common,num_102_text,0,Text,,,102,666046ac314c693233a22a8a,,102
4,Doctor_Common,num_110_text,0,Text,,,110,666046ac314c693233a22aca,,110
5,Doctor_Common,num_69_text,0,Text,,,69,666046ac314c693233a22b08,,69
6,Doctor_Common,num_70_text,0,Text,,,70,666046ac314c693233a22b5c,,70
7,Doctor_Common,num_71_text,0,Text,,,71,666046ac314c693233a22b7c,,71
8,Doctor_Common,num_72_text,0,Text,,,72,666046ac314c693233a22bb9,,72
9,Doctor_Common,num_74_text,0,Text,,,74,666046ac314c693233a22c06,,74
10,Doctor_Common,num_80_text,0,Text,,,80,666046ad314c693233a22c54,,80
11,Doctor_Common,num_89_text,0,Text,,,89,666046ad314c693233a22c7d,,89
12,Doctor_Common,num_90_text,0,Text,,,90,666046ad314c693233a22ca1,,90
13,Doctor_Common,tdoc_bandage_hold_fig,0,VO,Narrator,Female,Hold the bandage figurine as shown.,666046ad314c693233a22cce,,Segurar a figura da ligadura como indicado.
14,Doctor_Common,tdoc_bandage_text,0,Text,,,Place the bandage figurine.,666046ad314c693233a22d09,,Colocar a figura da ligadura.
15,Doctor_Common,tdoc_bandage_tut1,0,VO,Narrator,Female,Place the bandage figurine on the highlighted area.,666046ad314c693233a22d46,,Colocar a figura da ligadura na zona destacada.
16,Doctor_Common,tdoc_bandage_tut2,0,Both,Narrator,Female,Move the figurine to the affected area.,666046ad314c693233a22d7a,,Deslocar a estatueta para a zona afetada.
17,Doctor_Common,tdoc_bandage_tut3,0,Both,Narrator,Female,Drag the figurine to apply the bandage.,666046ad314c693233a22d96,,Arraste a figura para aplicar a ligadura.
18,Doctor_Common,tdoc_bandage_tut4,0,VO,Narrator,Female,Place again and drag until the entire injury is covered.,666046ad314c693233a22de3,,Voltar a colocar e arrastar até cobrir toda a lesão.
19,Doctor_Common,tdoc_bloodpressure_hold_figurine,0,VO,Narrator,Female,Hold the blood pressure figurine as shown.,666046ad314c693233a22e1f,,Segurar a figura da tensão arterial como indicado.
20,Doctor_Common,tdoc_bloodpressure_tut1,0,VO,Narrator,Female,Place the blood pressure figurine on the highlighted area.,666046ad314c693233a22e56,,Colocar a figura da tensão arterial na zona destacada.
21,Doctor_Common,tdoc_bloodpressure_tut2,0,VO,Narrator,Female,Press the button on the figurine until the reading appears.,666046ad314c693233a22e82,,Premir o botão da figura até aparecer a leitura.
22,Doctor_Common,tdoc_bp_text,0,Text,,,Place the blood pressure figurine.,666046ad314c693233a22eaf,,Colocar a figura da tensão arterial.
23,Doctor_Common,tdoc_bpm_label,0,Text,,,BPM,666046ad314c693233a22ede,,BPM
24,Doctor_Common,tdoc_button_text,0,Text,,,Press the button to shine the light.,666046ad314c693233a22efe,,Prima o botão para fazer brilhar a luz.
